Case_Reference,Date_Received,Date_Completed,Department,Operational_Unit,Region,Classification,Current_Status,Processing_Duration_Days,SLA_Target_Days,Quality_Audit_Score,Case_Cost_GBP
CAS-2025-01418,2025-06-11,2025-06-18,Regulatory Approvals,Unit 4,North & Scotland,Standard Application,Completed,7,15,84.4,337.6
CAS-2025-01419,2025-05-27,2025-08-27,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,92,45,100.0,3403.15
CAS-2025-01420,2025-07-14,2025-07-24,Regulatory Approvals,Unit 3,Midlands,Standard Application,Completed,10,15,89.0,446.2
CAS-2025-01421,2025-09-03,2025-10-26,Regulatory Approvals,Unit 1,Wales & South West,Appeals & Inquiries,Completed,53,60,96.5,1975.41
CAS-2025-01422,2025-10-09,2025-10-13,Regulatory Approvals,Unit 1,London & South East,Urgent License,Completed,4,5,92.0,269.3
CAS-2025-01423,2025-04-13,2025-04-15,Regulatory Approvals,Unit 1,Midlands,Urgent License,Completed,2,5,100.0,183.84
CAS-2025-01424,2025-10-09,,Operations,Unit 1,Midlands,Complex Inspection,In Progress,23,45,,913.01
CAS-2025-01425,2025-03-27,2025-04-10,Customer Enforcement,Unit 3,Wales & South West,Standard Application,Completed,14,15,85.3,592.13
CAS-2025-01426,2025-05-27,2025-06-03,Specialist Assessment,Unit 1,North & Scotland,Standard Application,Completed,7,15,99.4,388.68
CAS-2025-01427,2025-02-17,2025-02-25,Operations,Unit 4,Midlands,Standard Application,Completed,8,15,89.3,408.31
CAS-2025-01428,2025-08-08,2025-08-18,Regulatory Approvals,Unit 1,London & South East,Standard Application,Completed,10,15,87.5,477.92
CAS-2025-01429,2025-02-09,2025-02-22,Operations,Unit 2,Wales & South West,Standard Application,Completed,13,15,91.4,577.17
CAS-2025-01430,2025-04-17,2025-04-22,Specialist Assessment,Unit 2,North & Scotland,Urgent License,Completed,5,5,100.0,237.04
CAS-2025-01431,2025-07-26,2025-08-06,Operations,Unit 4,Wales & South West,Standard Application,Completed,11,15,83.7,492.61
CAS-2025-01432,2025-10-22,2025-10-30,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,8,15,87.2,400.25
CAS-2025-01433,2025-08-08,2025-08-19,Operations,Unit 2,London & South East,Standard Application,Completed,11,15,100.0,483.82
CAS-2025-01434,2025-10-19,2025-10-21,Specialist Assessment,Unit 1,Midlands,Urgent License,Completed,2,5,100.0,159.62
CAS-2025-01435,2025-04-14,2025-04-23,Operations,Unit 4,London & South East,Standard Application,Completed,9,15,88.1,460.28
CAS-2025-01436,2025-10-27,,Customer Enforcement,Unit 4,London & South East,Complex Inspection,Under Review,5,45,,309.68
CAS-2025-01437,2025-05-26,2025-07-01,Specialist Assessment,Unit 1,Wales & South West,Complex Inspection,Completed,36,45,99.9,1350.5
CAS-2025-01438,2025-06-22,2025-07-04,Customer Enforcement,Unit 1,Midlands,Standard Application,Completed,12,15,96.4,558.38
CAS-2025-01439,2025-03-15,2025-03-19,Regulatory Approvals,Unit 3,North & Scotland,Urgent License,Completed,4,5,86.3,235.23
CAS-2025-01440,2025-09-14,2025-10-01,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,17,15,100.0,735.93
CAS-2025-01441,2025-04-30,2025-05-08,Specialist Assessment,Unit 4,Midlands,Standard Application,Completed,8,15,100.0,377.64
CAS-2025-01442,2025-03-18,2025-03-29,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,11,15,92.6,447.23
CAS-2025-01443,2025-06-25,2025-08-26,Customer Enforcement,Unit 4,North & Scotland,Appeals & Inquiries,Completed,62,60,100.0,2281.4
CAS-2025-01444,2025-09-26,2025-10-10,Operations,Unit 4,North & Scotland,Standard Application,Completed,14,15,84.9,603.62
CAS-2025-01445,2025-10-31,,Operations,Unit 2,Midlands,Standard Application,In Progress,1,15,,161.73
CAS-2025-01446,2025-07-02,2025-08-10,Customer Enforcement,Unit 3,Midlands,Complex Inspection,Completed,39,45,93.5,1492.6
CAS-2025-01447,2025-03-02,2025-03-28,Regulatory Approvals,Unit 3,North & Scotland,Complex Inspection,Completed,26,45,98.3,1030.88
CAS-2025-01448,2025-02-17,2025-03-27,Regulatory Approvals,Unit 4,North & Scotland,Appeals & Inquiries,Completed,38,60,83.2,1498.56
CAS-2025-01449,2025-09-25,2025-10-15,Regulatory Approvals,Unit 2,London & South East,Standard Application,Completed,20,15,92.8,810.4
CAS-2025-01450,2025-10-15,,Regulatory Approvals,Unit 2,North & Scotland,Complex Inspection,Under Review,17,45,,746.0
CAS-2025-01451,2025-05-13,2025-06-13,Operations,Unit 3,North & Scotland,Appeals & Inquiries,Completed,31,60,100.0,1231.53
CAS-2025-01452,2025-07-12,2025-07-24,Operations,Unit 4,Midlands,Standard Application,Completed,12,15,94.1,559.74
CAS-2025-01453,2025-05-22,2025-05-30,Operations,Unit 2,Wales & South West,Standard Application,Completed,8,15,80.0,402.57
CAS-2025-01454,2025-06-15,2025-06-23,Regulatory Approvals,Unit 4,Midlands,Standard Application,Completed,8,15,79.7,391.26
CAS-2025-01455,2025-08-18,2025-09-12,Regulatory Approvals,Unit 2,Midlands,Complex Inspection,Completed,25,45,100.0,944.15
CAS-2025-01456,2025-07-28,2025-08-01,Regulatory Approvals,Unit 4,North & Scotland,Urgent License,Completed,4,5,96.5,213.12
CAS-2025-01457,2025-02-14,2025-02-28,Specialist Assessment,Unit 4,Wales & South West,Standard Application,Completed,14,15,88.4,616.12
CAS-2025-01458,2025-08-11,2025-08-13,Specialist Assessment,Unit 4,North & Scotland,Urgent License,Completed,2,5,88.2,154.53
CAS-2025-01459,2025-08-19,2025-10-17,Regulatory Approvals,Unit 4,London & South East,Complex Inspection,Completed,59,45,95.0,2223.44
CAS-2025-01460,2025-03-12,2025-03-20,Operations,Unit 2,North & Scotland,Standard Application,Completed,8,15,80.9,344.1
CAS-2025-01461,2025-02-21,2025-03-26,Regulatory Approvals,Unit 4,North & Scotland,Appeals & Inquiries,Completed,33,60,89.5,1284.56
CAS-2025-01462,2025-04-03,2025-04-12,Operations,Unit 4,Midlands,Standard Application,Completed,9,15,89.1,436.9
CAS-2025-01463,2025-02-05,2025-02-14,Operations,Unit 2,Wales & South West,Standard Application,Completed,9,15,91.8,399.74
CAS-2025-01464,2025-10-29,,Customer Enforcement,Unit 1,Wales & South West,Complex Inspection,Awaiting Evidence,3,45,,187.67
CAS-2025-01465,2025-04-22,2025-05-19,Operations,Unit 3,London & South East,Standard Application,Completed,27,15,86.9,1048.07
CAS-2025-01466,2025-04-16,2025-04-25,Operations,Unit 2,London & South East,Standard Application,Completed,9,15,93.3,435.92
CAS-2025-01467,2025-04-16,2025-04-25,Operations,Unit 3,North & Scotland,Urgent License,Completed,9,5,92.1,458.45
CAS-2025-01468,2025-05-28,2025-06-09,Operations,Unit 1,Midlands,Standard Application,Completed,12,15,100.0,541.81
CAS-2025-01469,2025-09-06,2025-09-16,Specialist Assessment,Unit 2,Wales & South West,Standard Application,Completed,10,15,95.5,481.24
CAS-2025-01470,2025-08-17,2025-10-12,Regulatory Approvals,Unit 1,London & South East,Complex Inspection,Completed,56,45,94.4,2131.23
CAS-2025-01471,2025-06-09,2025-06-11,Operations,Unit 3,Midlands,Urgent License,Completed,2,5,91.5,206.43
CAS-2025-01472,2025-05-11,2025-05-30,Operations,Unit 2,Wales & South West,Standard Application,Completed,19,15,92.4,738.8
CAS-2025-01473,2025-07-25,2025-07-28,Operations,Unit 2,North & Scotland,Urgent License,Completed,3,5,94.7,229.45
CAS-2025-01474,2025-09-12,2025-09-20,Operations,Unit 4,London & South East,Standard Application,Completed,8,15,100.0,392.89
CAS-2025-01475,2025-01-13,2025-01-22,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,9,15,100.0,392.71
CAS-2025-01476,2025-09-30,,Operations,Unit 4,Midlands,Appeals & Inquiries,Under Review,32,60,,1209.81
CAS-2025-01477,2025-07-06,2025-07-10,Regulatory Approvals,Unit 1,London & South East,Urgent License,Completed,4,5,100.0,243.29
CAS-2025-01478,2025-10-13,2025-10-28,Specialist Assessment,Unit 4,Midlands,Standard Application,Completed,15,15,95.6,599.57
CAS-2025-01479,2025-04-04,2025-05-13,Operations,Unit 3,London & South East,Complex Inspection,Completed,39,45,92.1,1484.63
CAS-2025-01480,2025-06-29,,Operations,Unit 1,Wales & South West,Appeals & Inquiries,Under Review,125,60,,4562.87
CAS-2025-01481,2025-07-27,2025-08-21,Operations,Unit 3,Wales & South West,Complex Inspection,Completed,25,45,97.3,998.33
CAS-2025-01482,2025-03-13,2025-04-09,Specialist Assessment,Unit 4,London & South East,Complex Inspection,Completed,27,45,92.6,1073.65
CAS-2025-01483,2025-08-09,2025-09-17,Specialist Assessment,Unit 4,North & Scotland,Appeals & Inquiries,Completed,39,60,88.1,1466.3
CAS-2025-01484,2025-07-11,2025-07-20,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,9,15,86.0,398.88
CAS-2025-01485,2025-04-14,2025-05-26,Specialist Assessment,Unit 4,North & Scotland,Complex Inspection,Completed,42,45,84.6,1572.75
CAS-2025-01486,2025-02-07,2025-03-08,Specialist Assessment,Unit 3,Wales & South West,Complex Inspection,Completed,29,45,97.3,1178.51
CAS-2025-01487,2025-07-05,2025-07-21,Operations,Unit 2,Wales & South West,Standard Application,Completed,16,15,100.0,626.9
CAS-2025-01488,2025-10-31,,Customer Enforcement,Unit 3,Wales & South West,Standard Application,Awaiting Evidence,1,15,,91.68
CAS-2025-01489,2025-05-17,2025-05-26,Operations,Unit 4,Wales & South West,Standard Application,Completed,9,15,97.1,388.44
CAS-2025-01490,2025-04-28,2025-05-01,Regulatory Approvals,Unit 2,Wales & South West,Urgent License,Completed,3,5,91.4,246.94
CAS-2025-01491,2025-01-05,2025-01-08,Operations,Unit 3,Wales & South West,Urgent License,Completed,3,5,89.6,228.21
CAS-2025-01492,2025-05-20,2025-06-18,Specialist Assessment,Unit 3,Wales & South West,Complex Inspection,Completed,29,45,95.5,1098.56
CAS-2025-01493,2025-06-07,2025-06-12,Specialist Assessment,Unit 1,London & South East,Urgent License,Completed,5,5,91.7,239.19
CAS-2025-01494,2025-09-10,2025-10-13,Regulatory Approvals,Unit 2,Midlands,Complex Inspection,Completed,33,45,84.2,1237.94
CAS-2025-01495,2025-03-11,2025-04-21,Specialist Assessment,Unit 4,Wales & South West,Complex Inspection,Completed,41,45,100.0,1595.34
CAS-2025-01496,2025-08-30,2025-09-07,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,8,15,96.9,412.0
CAS-2025-01497,2025-08-25,2025-09-05,Operations,Unit 1,Wales & South West,Standard Application,Completed,11,15,93.9,518.85
CAS-2025-01498,2025-07-07,2025-07-24,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,Completed,17,15,90.7,732.45
CAS-2025-01499,2025-08-08,2025-09-18,Specialist Assessment,Unit 1,North & Scotland,Appeals & Inquiries,Completed,41,60,89.4,1510.78
CAS-2025-01500,2025-03-17,2025-05-03,Regulatory Approvals,Unit 2,Wales & South West,Appeals & Inquiries,Completed,47,60,91.1,1732.29
CAS-2025-01501,2025-07-01,2025-07-19,Specialist Assessment,Unit 3,London & South East,Standard Application,Completed,18,15,89.1,694.18
CAS-2025-01502,2025-03-31,2025-04-18,Operations,Unit 2,London & South East,Standard Application,Completed,18,15,94.5,745.57
CAS-2025-01503,2025-01-14,2025-01-17,Operations,Unit 1,North & Scotland,Urgent License,Completed,3,5,80.8,249.76
CAS-2025-01504,2025-01-06,2025-01-17,Regulatory Approvals,Unit 2,London & South East,Standard Application,Completed,11,15,89.7,534.21
CAS-2025-01505,2025-01-20,2025-02-19,Operations,Unit 3,Wales & South West,Complex Inspection,Completed,30,45,87.7,1166.23
CAS-2025-01506,2025-03-04,2025-03-13,Specialist Assessment,Unit 4,North & Scotland,Standard Application,Completed,9,15,87.4,424.57
CAS-2025-01507,2025-05-02,2025-06-02,Customer Enforcement,Unit 4,Wales & South West,Complex Inspection,Completed,31,45,89.2,1185.99
CAS-2025-01508,2025-05-21,2025-05-29,Regulatory Approvals,Unit 4,Midlands,Standard Application,Completed,8,15,90.3,362.8
CAS-2025-01509,2025-10-23,2025-11-01,Operations,Unit 4,Wales & South West,Standard Application,Completed,9,15,82.9,419.74
CAS-2025-01510,2025-06-20,2025-06-22,Operations,Unit 3,London & South East,Urgent License,Completed,2,5,93.9,167.46
CAS-2025-01511,2025-04-13,2025-04-26,Regulatory Approvals,Unit 1,Wales & South West,Standard Application,Completed,13,15,100.0,554.35
CAS-2025-01512,2025-03-01,2025-03-25,Regulatory Approvals,Unit 2,London & South East,Complex Inspection,Completed,24,45,94.1,996.32
CAS-2025-01513,2025-04-18,2025-05-04,Operations,Unit 3,Midlands,Standard Application,Completed,16,15,100.0,648.85
CAS-2025-01514,2025-07-31,2025-09-21,Operations,Unit 4,North & Scotland,Complex Inspection,Completed,52,45,76.0,1967.28
CAS-2025-01515,2025-04-06,2025-05-06,Specialist Assessment,Unit 4,London & South East,Complex Inspection,Completed,30,45,98.3,1209.68
CAS-2025-01516,2025-05-30,2025-06-29,Customer Enforcement,Unit 3,London & South East,Appeals & Inquiries,Completed,30,60,95.5,1175.35
CAS-2025-01517,2025-03-28,2025-04-05,Regulatory Approvals,Unit 2,London & South East,Standard Application,Completed,8,15,91.4,425.69
CAS-2025-01518,2025-10-08,2025-10-21,Operations,Unit 1,Wales & South West,Standard Application,Completed,13,15,75.8,601.3
CAS-2025-01519,2025-04-04,2025-05-12,Operations,Unit 1,London & South East,Complex Inspection,Completed,38,45,89.1,1401.37
CAS-2025-01520,2025-08-02,2025-08-18,Specialist Assessment,Unit 3,London & South East,Standard Application,Completed,16,15,88.3,710.65
CAS-2025-01521,2025-10-25,2025-11-01,Specialist Assessment,Unit 3,North & Scotland,Standard Application,Completed,7,15,94.6,393.18
CAS-2025-01522,2025-08-27,2025-09-20,Operations,Unit 4,Wales & South West,Standard Application,Completed,24,15,96.0,956.42
CAS-2025-01523,2025-10-10,2025-10-20,Regulatory Approvals,Unit 4,North & Scotland,Standard Application,Completed,10,15,85.0,427.18
CAS-2025-01524,2025-10-19,2025-10-29,Customer Enforcement,Unit 1,Midlands,Standard Application,Completed,10,15,90.1,438.75
CAS-2025-01525,2025-03-17,2025-03-29,Operations,Unit 3,Wales & South West,Standard Application,Completed,12,15,94.2,548.75
CAS-2025-01526,2025-08-16,2025-08-24,Regulatory Approvals,Unit 4,North & Scotland,Standard Application,Completed,8,15,95.1,363.64
CAS-2025-01527,2025-10-12,2025-10-21,Operations,Unit 2,North & Scotland,Standard Application,Completed,9,15,89.7,372.97
CAS-2025-01528,2025-02-14,2025-03-11,Operations,Unit 2,London & South East,Standard Application,Completed,25,15,92.9,971.98
CAS-2025-01529,2025-06-29,2025-07-08,Specialist Assessment,Unit 4,London & South East,Standard Application,Completed,9,15,96.6,452.11
CAS-2025-01530,2025-01-09,2025-01-21,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,12,15,85.1,529.52
CAS-2025-01531,2025-10-05,,Regulatory Approvals,Unit 1,Wales & South West,Standard Application,Awaiting Evidence,27,15,,1058.96
CAS-2025-01532,2025-03-09,2025-04-15,Specialist Assessment,Unit 2,North & Scotland,Complex Inspection,Completed,37,45,89.5,1410.27
CAS-2025-01533,2025-07-06,2025-07-17,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,11,15,96.3,525.56
CAS-2025-01534,2025-10-29,,Operations,Unit 3,North & Scotland,Standard Application,In Progress,3,15,,234.45
CAS-2025-01535,2025-04-05,2025-04-17,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,Completed,12,15,96.0,536.25
CAS-2025-01536,2025-09-17,,Operations,Unit 2,North & Scotland,Appeals & Inquiries,In Progress,45,60,,1661.01
CAS-2025-01537,2025-07-14,2025-08-25,Regulatory Approvals,Unit 1,Midlands,Complex Inspection,Completed,42,45,95.8,1598.54
CAS-2025-01538,2025-01-30,2025-02-09,Operations,Unit 4,London & South East,Standard Application,Completed,10,15,91.0,471.11
CAS-2025-01539,2025-02-11,2025-02-18,Operations,Unit 2,Wales & South West,Standard Application,Completed,7,15,94.4,368.64
CAS-2025-01540,2025-10-10,2025-10-29,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,19,15,89.5,725.87
CAS-2025-01541,2025-08-14,2025-08-18,Customer Enforcement,Unit 3,Wales & South West,Urgent License,Completed,4,5,79.8,264.43
CAS-2025-01542,2025-06-08,2025-06-11,Customer Enforcement,Unit 2,London & South East,Urgent License,Completed,3,5,96.3,240.48
CAS-2025-01543,2025-08-04,2025-08-11,Operations,Unit 4,Midlands,Standard Application,Completed,7,15,79.4,369.97
CAS-2025-01544,2025-01-22,2025-03-24,Regulatory Approvals,Unit 4,London & South East,Appeals & Inquiries,Completed,61,60,99.1,2310.09
CAS-2025-01545,2025-07-14,2025-08-02,Operations,Unit 1,North & Scotland,Standard Application,Completed,19,15,99.0,757.08
CAS-2025-01546,2025-08-31,2025-09-30,Regulatory Approvals,Unit 3,Midlands,Complex Inspection,Completed,30,45,96.0,1149.27
CAS-2025-01547,2025-10-15,2025-10-25,Customer Enforcement,Unit 1,London & South East,Standard Application,Completed,10,15,100.0,436.83
CAS-2025-01548,2025-10-10,2025-10-12,Regulatory Approvals,Unit 4,Wales & South West,Urgent License,Completed,2,5,84.2,122.29
CAS-2025-01549,2025-10-15,,Specialist Assessment,Unit 3,Wales & South West,Complex Inspection,Awaiting Evidence,17,45,,734.73
CAS-2025-01550,2025-04-05,2025-04-13,Operations,Unit 1,London & South East,Standard Application,Completed,8,15,87.5,343.5
CAS-2025-01551,2025-07-31,2025-08-08,Operations,Unit 4,North & Scotland,Urgent License,Completed,8,5,87.2,340.58
CAS-2025-01552,2025-01-20,2025-01-28,Regulatory Approvals,Unit 1,North & Scotland,Standard Application,Completed,8,15,90.9,374.27
CAS-2025-01553,2025-01-08,2025-02-03,Operations,Unit 3,London & South East,Complex Inspection,Completed,26,45,100.0,1043.06
CAS-2025-01554,2025-03-14,2025-04-14,Customer Enforcement,Unit 3,Midlands,Appeals & Inquiries,Completed,31,60,96.2,1228.53
CAS-2025-01555,2025-07-07,2025-07-21,Customer Enforcement,Unit 4,Wales & South West,Standard Application,Completed,14,15,87.6,602.11
CAS-2025-01556,2025-08-28,2025-09-11,Operations,Unit 3,North & Scotland,Standard Application,Completed,14,15,87.7,612.19
CAS-2025-01557,2025-08-28,2025-09-25,Operations,Unit 4,North & Scotland,Complex Inspection,Completed,28,45,98.6,1048.16
CAS-2025-01558,2025-10-02,2025-10-13,Regulatory Approvals,Unit 2,Wales & South West,Standard Application,Completed,11,15,94.9,530.29
CAS-2025-01559,2025-08-20,2025-08-22,Regulatory Approvals,Unit 4,Midlands,Urgent License,Completed,2,5,98.1,154.73
CAS-2025-01560,2025-02-20,2025-02-27,Specialist Assessment,Unit 2,London & South East,Standard Application,Completed,7,15,96.5,375.15
CAS-2025-01561,2025-04-28,2025-07-03,Operations,Unit 4,Midlands,Complex Inspection,Completed,66,45,84.9,2430.0
CAS-2025-01562,2025-08-03,2025-09-02,Customer Enforcement,Unit 2,Wales & South West,Complex Inspection,Completed,30,45,98.5,1196.58
CAS-2025-01563,2025-01-29,2025-02-10,Operations,Unit 4,Midlands,Standard Application,Completed,12,15,85.1,487.51
CAS-2025-01564,2025-08-05,2025-09-07,Regulatory Approvals,Unit 2,North & Scotland,Complex Inspection,Completed,33,45,81.9,1286.32
CAS-2025-01565,2025-03-28,2025-04-05,Regulatory Approvals,Unit 3,Midlands,Standard Application,Completed,8,15,88.6,386.53
CAS-2025-01566,2025-08-18,2025-08-30,Specialist Assessment,Unit 1,London & South East,Standard Application,Completed,12,15,87.4,479.81
CAS-2025-01567,2025-05-12,2025-06-19,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,38,45,93.3,1433.55
CAS-2025-01568,2025-10-19,,Regulatory Approvals,Unit 3,North & Scotland,Complex Inspection,Awaiting Evidence,13,45,,528.71
CAS-2025-01569,2025-01-16,2025-01-27,Regulatory Approvals,Unit 3,North & Scotland,Standard Application,Completed,11,15,98.2,492.87
CAS-2025-01570,2025-02-08,2025-02-22,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,14,15,90.6,577.7
CAS-2025-01571,2025-09-12,2025-09-20,Specialist Assessment,Unit 1,North & Scotland,Urgent License,Completed,8,5,96.1,351.72
CAS-2025-01572,2025-03-11,2025-03-20,Regulatory Approvals,Unit 4,Midlands,Standard Application,Completed,9,15,95.2,403.68
CAS-2025-01573,2025-09-03,2025-09-10,Operations,Unit 3,London & South East,Standard Application,Completed,7,15,99.7,342.49
CAS-2025-01574,2025-06-29,2025-07-07,Operations,Unit 4,Midlands,Standard Application,Completed,8,15,100.0,424.55
CAS-2025-01575,2025-04-05,2025-05-05,Customer Enforcement,Unit 4,North & Scotland,Complex Inspection,Completed,30,45,90.4,1194.98
CAS-2025-01576,2025-01-22,2025-02-01,Operations,Unit 3,Midlands,Standard Application,Completed,10,15,91.3,446.51
CAS-2025-01577,2025-06-28,2025-07-05,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,7,15,92.7,358.94
CAS-2025-01578,2025-02-11,2025-03-14,Operations,Unit 3,Midlands,Complex Inspection,Completed,31,45,94.6,1174.92
CAS-2025-01579,2025-02-04,2025-03-10,Operations,Unit 3,Midlands,Complex Inspection,Completed,34,45,88.2,1295.28
CAS-2025-01580,2025-05-02,2025-05-09,Operations,Unit 4,North & Scotland,Standard Application,Completed,7,15,100.0,386.3
CAS-2025-01581,2025-01-15,2025-02-28,Customer Enforcement,Unit 2,London & South East,Appeals & Inquiries,Completed,44,60,100.0,1657.12
CAS-2025-01582,2025-09-23,2025-09-30,Specialist Assessment,Unit 2,Wales & South West,Standard Application,Completed,7,15,91.5,310.83
CAS-2025-01583,2025-10-06,,Specialist Assessment,Unit 3,London & South East,Appeals & Inquiries,In Progress,26,60,,982.11
CAS-2025-01584,2025-10-11,,Operations,Unit 4,North & Scotland,Complex Inspection,Under Review,21,45,,872.1
CAS-2025-01585,2025-05-17,2025-05-25,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,8,15,91.5,343.84
CAS-2025-01586,2025-01-06,2025-01-14,Customer Enforcement,Unit 4,North & Scotland,Standard Application,Completed,8,15,95.7,388.69
CAS-2025-01587,2025-06-24,2025-07-03,Specialist Assessment,Unit 3,London & South East,Standard Application,Completed,9,15,98.2,447.74
CAS-2025-01588,2025-02-04,2025-04-01,Operations,Unit 2,Midlands,Appeals & Inquiries,Completed,56,60,100.0,2111.97
CAS-2025-01589,2025-08-02,2025-08-15,Operations,Unit 2,North & Scotland,Standard Application,Completed,13,15,90.9,553.5
CAS-2025-01590,2025-07-06,2025-07-14,Operations,Unit 4,North & Scotland,Standard Application,Completed,8,15,88.7,401.58
CAS-2025-01591,2025-05-06,2025-05-18,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,12,15,100.0,515.6
CAS-2025-01592,2025-02-15,2025-03-20,Operations,Unit 3,North & Scotland,Complex Inspection,Completed,33,45,90.5,1256.94
CAS-2025-01593,2025-04-25,2025-05-04,Regulatory Approvals,Unit 3,North & Scotland,Standard Application,Completed,9,15,86.0,428.88
CAS-2025-01594,2025-08-13,2025-08-21,Regulatory Approvals,Unit 3,North & Scotland,Standard Application,Completed,8,15,90.9,338.33
CAS-2025-01595,2025-05-14,2025-05-22,Operations,Unit 1,London & South East,Standard Application,Completed,8,15,82.0,385.32
CAS-2025-01596,2025-10-28,,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,In Progress,4,15,,261.4
CAS-2025-01597,2025-01-25,2025-03-01,Operations,Unit 1,Midlands,Appeals & Inquiries,Completed,35,60,90.4,1302.97
CAS-2025-01598,2025-09-16,2025-09-27,Operations,Unit 3,London & South East,Standard Application,Completed,11,15,88.3,495.55
CAS-2025-01599,2025-08-25,2025-09-04,Operations,Unit 1,Wales & South West,Standard Application,Completed,10,15,93.4,436.61
CAS-2025-01600,2025-08-09,2025-10-11,Customer Enforcement,Unit 3,London & South East,Complex Inspection,Completed,63,45,86.1,2343.71
